Location,Neighborhood,BL,BFBL,SBL,SLM,PSL,CL,BSBL,SBLBL,Total,Segments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brighton Avenue,Allston,0,0,0,0,2,0,0,0,2,Brighton Avenue east of St. Lukes Road,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harvard Avenue,Allston,2,0,0,0,0,2,0,0,4,Harvard Avenue north of Commonwealth Avenue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North Harvard Street,Allston,3,0,0,0,0,2,0,0,5,North Harvard Street south of Soldiers Field Road,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dorchester Avenue,Dorchester,8,0,0,0,0,0,0,0,8,"Dorchester Avenue north of Doris Street, Dorchester Avenue north of Dracut Street, Dorchester Avenue south of Greenwich Street",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Talbot Avenue,Dorchester,1,0,0,0,0,0,0,0,1,Talbot Avenue west of New England Avenue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Congress Street,Downtown,0,0,1,1,0,0,0,0,2,Congress Street south of Milk Street,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beacon Street,Fenway,3,1,2,3,0,0,0,0,9,"Beacon Street east of Mountfort Street, Beacon Street west of Raleigh Street",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Commonwealth Avenue,Fenway,3,5,6,0,0,0,0,0,14,"Commonwealth Avenue Eastbound west of Silber Way, Commonwealth Avenue Westbound west of Silber Way",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Columbus Avenue,South End,3,0,0,0,0,0,0,0,3,"Columbus Avenue west of Arlington Street, Columbus Avenue west of Holyoke Street, Columbus Avenue west of Massachusetts Avenue",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Massachusetts Avenue,South End,8,0,7,5,0,0,1,3,24,"Massachusetts Avenue south of Columbus Avenue, Massachusetts Avenue south of Newmarket Square, Massachusetts Avenue south of Shawmut Avenue",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
