,,,,,Day 1,,,,,,,,,,,,,,,,,,,,,,,,Day 2,,,,,,,,,,,,,,,,,,,,,,,
Location,Month,Vehicle Type,Direction,Total,12 AM,01 AM,02 AM,03 AM,04 AM,05 AM,06 AM,07 AM,08 AM,09 AM,10 AM,11 AM,12 PM,01 PM,02 PM,03 PM,04 PM,05 PM,06 PM,07 PM,08 PM,09 PM,10 PM,11 PM,12 AM,01 AM,02 AM,03 AM,04 AM,05 AM,06 AM,07 AM,08 AM,09 AM,10 AM,11 AM,12 PM,01 PM,02 PM,03 PM,04 PM,05 PM,06 PM,07 PM,08 PM,09 PM,10 PM,11 PM
A Street north of Iron Street,October,Bike,Northbound,666,1,0,0,0,1,3,19,53,115,54,7,9,13,4,11,8,9,4,10,5,5,1,2,0,0,0,0,0,0,4,13,55,107,37,13,7,6,12,12,11,10,15,12,4,6,3,1,4
A Street north of Iron Street,October,Bike,Southbound,760,1,0,1,0,0,0,2,9,18,6,6,10,5,13,16,17,41,84,76,40,18,9,2,2,1,0,1,0,0,1,3,8,16,9,7,8,10,10,15,18,40,92,67,38,18,7,8,7
A Street north of Iron Street,October,Bike,Total,1426,2,0,1,0,1,3,21,62,133,60,13,19,18,17,27,25,50,88,86,45,23,10,4,2,1,0,1,0,0,5,16,63,123,46,20,15,16,22,27,29,50,107,79,42,24,10,9,11
A Street north of Iron Street,October,MV,Northbound,10083,47,33,22,28,38,163,319,339,454,349,311,254,219,210,205,234,303,287,237,212,188,129,119,72,51,41,22,29,56,171,337,370,464,425,323,267,233,230,249,305,371,295,307,208,203,120,135,99
A Street north of Iron Street,October,MV,Southbound,12996,160,83,48,39,76,165,252,348,377,349,314,300,304,326,395,472,452,357,402,388,270,225,151,114,91,52,36,39,64,176,224,335,406,372,340,333,373,327,419,534,527,396,402,374,257,211,208,133
A Street north of Iron Street,October,MV,Total,23079,207,116,70,67,114,328,571,687,831,698,625,554,523,536,600,706,755,644,639,600,458,354,270,186,142,93,58,68,120,347,561,705,870,797,663,600,606,557,668,839,898,691,709,582,460,331,343,232
Adams Street south of Washington Street,October,Bike,Northbound,33,0,0,0,0,0,1,1,3,2,1,0,0,0,0,6,0,1,0,2,1,0,0,0,0,0,0,0,0,0,1,1,1,3,1,0,1,0,0,3,0,2,2,0,0,0,0,0,0
Adams Street south of Washington Street,October,Bike,Southbound,34,0,0,0,0,0,1,1,0,0,2,1,0,1,0,1,0,0,6,3,0,0,1,0,0,0,0,0,0,0,1,0,0,2,2,0,1,1,0,0,1,1,4,3,1,0,0,0,0
Adams Street south of Washington Street,October,Bike,Total,67,0,0,0,0,0,2,2,3,2,3,1,0,1,0,7,0,1,6,5,1,0,1,0,0,0,0,0,0,0,2,1,1,5,3,0,2,1,0,3,1,3,6,3,1,0,0,0,0
Adams Street south of Washington Street,October,MV,Northbound,23902,52,17,19,27,60,518,1213,1157,1127,913,670,540,504,508,618,637,572,653,602,390,301,236,168,92,39,25,19,24,93,607,1221,1105,1150,933,704,578,507,595,639,669,666,701,716,492,333,224,159,109
Adams Street south of Washington Street,October,MV,Southbound,17302,119,37,14,16,29,100,235,395,432,373,422,433,489,514,591,688,681,762,687,531,376,285,185,158,86,47,21,25,29,106,210,434,419,410,366,463,487,505,624,678,750,768,683,520,418,286,192,223
Adams Street south of Washington Street,October,MV,Total,41204,171,54,33,43,89,618,1448,1552,1559,1286,1092,973,993,1022,1209,1325,1253,1415,1289,921,677,521,353,250,125,72,40,49,122,713,1431,1539,1569,1343,1070,1041,994,1100,1263,1347,1416,1469,1399,1012,751,510,351,332
Beacon Street east of Mountfort Street,September,Bike,Eastbound,900,0,0,0,1,1,5,25,72,150,73,23,16,8,7,6,10,1,23,3,3,1,12,1,2,2,0,0,1,1,9,25,59,136,78,25,22,22,8,6,10,7,2,15,11,4,9,5,0
Beacon Street east of Mountfort Street,September,Bike,Westbound,1077,3,0,2,0,0,3,11,9,9,10,8,9,17,11,11,31,50,118,126,45,23,21,10,4,1,2,0,0,0,2,14,7,9,9,12,12,19,20,18,18,44,124,100,48,32,31,18,6
Beacon Street east of Mountfort Street,September,Bike,Total,1977,3,0,2,1,1,8,36,81,159,83,31,25,25,18,17,41,51,141,129,48,24,33,11,6,3,2,0,1,1,11,39,66,145,87,37,34,41,28,24,28,51,126,115,59,36,40,23,6
Beacon Street east of Mountfort Street,September,MV,Eastbound,24538,123,59,42,23,42,126,421,862,1104,759,514,505,544,491,609,752,830,957,775,651,514,676,459,173,130,69,33,30,37,144,415,876,1128,844,510,516,506,566,665,742,842,934,868,700,552,605,556,259
Beacon Street east of Mountfort Street,September,MV,Westbound,31644,198,82,52,45,93,308,761,928,858,838,770,725,743,791,926,978,1059,1047,956,968,798,782,608,318,213,115,87,41,90,336,783,935,914,826,763,711,791,865,917,999,1021,1071,1039,872,845,719,627,432
Beacon Street east of Mountfort Street,September,MV,Total,56182,321,141,94,68,135,434,1182,1790,1962,1597,1284,1230,1287,1282,1535,1730,1889,2004,1731,1619,1312,1458,1067,491,343,184,120,71,127,480,1198,1811,2042,1670,1273,1227,1297,1431,1582,1741,1863,2005,1907,1572,1397,1324,1183,691
Beacon Street west of Raleigh Street,September,Bike,Eastbound,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
Beacon Street west of Raleigh Street,September,Bike,Westbound,872,5,0,1,0,1,2,14,20,25,21,0,9,11,15,1,20,31,88,88,25,23,15,7,5,3,2,1,1,0,2,10,19,21,23,10,6,18,21,20,18,32,76,63,26,29,23,15,6
Beacon Street west of Raleigh Street,September,Bike,Total,872,5,0,1,0,1,2,14,20,25,21,0,9,11,15,1,20,31,88,88,25,23,15,7,5,3,2,1,1,0,2,10,19,21,23,10,6,18,21,20,18,32,76,63,26,29,23,15,6
Beacon Street west of Raleigh Street,September,MV,Eastbound,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a
